StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,sex,age,education,faith_in_god,religious_activity_freq,3,Q3.1,Q3.2,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1,Q7.2,Q8.1,Q8.2,Q9.1,Q9.2,Q10.1,Q10.2
12/22/2023 8:23,12/22/2023 8:28,IP Address,124.72.40.188,100,300,TRUE,12/22/2023 8:28,R_4CTIVrfN46Wx02S,,,,,26.0492,119.2906,anonymous,ZH-T,1,男,35,研究生毕业,比较相信,每天都有，甚至不止一次,是,也许会降低,不变,也许会增加,不变,也许会降低,更大,也许会降低,更大,也许会增加,更大,也许会增加,更大,不确定,更大,不确定,不变
12/22/2023 9:16,12/22/2023 9:23,IP Address,172.104.70.211,100,440,TRUE,12/22/2023 9:23,R_4exEPsWArPR9i2M,,,,,35.6893,139.6899,anonymous,ZH-T,2,女,29,研究生毕业,非常相信,每周一次,是,也许会降低,更大,很有可能会增加,更大,不确定,不变,不确定,不变,很有可能会增加,不变,也许会增加,不变,不确定,不变,不确定,不变
12/22/2023 10:21,12/22/2023 10:26,IP Address,124.72.40.188,100,261,TRUE,12/22/2023 10:26,R_4LwzL0cXLQiE7j6,,,,,26.0492,119.2906,anonymous,ZH-T,3,男,17,高中,非常相信,每周一次,是,也许会增加,不变,也许会增加,不变,也许会增加,不变,也许会增加,不变,也许会增加,不变,也许会增加,不变,也许会增加,不变,也许会增加,不变
12/23/2023 8:14,12/23/2023 8:18,IP Address,223.104.51.253,100,243,TRUE,12/23/2023 8:18,R_4zZaInRxR7AO6ie,,,,,26.0492,119.2906,anonymous,ZH-T,4,女,48,本科毕业,非常相信,每天都有，甚至不止一次,是,很有可能会降低,不变,也许会增加,更大,不确定,不变,也许会降低,不变,也许会增加,更大,也许会增加,更大,不确定,更小,也许会增加,更大
12/23/2023 8:17,12/23/2023 8:20,IP Address,117.136.75.48,100,199,TRUE,12/23/2023 8:20,R_4KqrlYkSpvkYP9L,,,,,26.0492,119.2906,anonymous,ZH-T,5,男,18,高中,非常相信,每周一次,是,也许会增加,更大,也许会增加,更大,很有可能会增加,更大,也许会降低,更小,很有可能会增加,更大,也许会增加,不变,也许会降低,更大,不确定,不变
12/23/2023 9:18,12/23/2023 9:23,IP Address,124.72.40.188,100,305,TRUE,12/23/2023 9:23,R_4yjBvw0C5O2EFFf,,,,,26.0492,119.2906,anonymous,ZH-T,6,男,54,本科毕业,非常相信,每天都有，甚至不止一次,是,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大
12/23/2023 9:47,12/23/2023 9:52,IP Address,60.160.77.36,100,331,TRUE,12/23/2023 9:52,R_4hQq5Ixb3I6fOcB,,,,,25.5859,100.2085,anonymous,ZH-T,7,女,21,本科毕业,非常相信,每周一次,是,也许会降低,更大,很有可能会增加,更大,也许会降低,更大,也许会降低,更大,一定会增加,更大,一定会增加,更大,一定会降低,更小,不确定,不变
12/23/2023 21:21,12/23/2023 21:24,IP Address,101.161.85.199,100,172,TRUE,12/23/2023 21:24,R_4SC6xgHnHjUZzDV,,,,,-38.0172,145.3068,anonymous,ZH-T,8,女,18,高中,比较相信,每周一次,是,也许会降低,不变,也许会增加,更大,很有可能会降低,更小,很有可能会降低,更小,很有可能会增加,更大,很有可能会增加,更大,很有可能会降低,更大,不确定,不变
12/23/2023 22:07,12/23/2023 22:09,IP Address,101.161.85.199,100,105,TRUE,12/23/2023 22:09,R_4QKk6hMwiNVKpjV,,,,,-38.0172,145.3068,anonymous,ZH-T,9,男,18,高中,比较相信,每周一次,是,也许会降低,不变,也许会增加,不变,不确定,不变,很有可能会降低,更小,一定会增加,更大,一定会增加,更大,很有可能会降低,更大,不确定,不变
12/23/2023 23:17,12/23/2023 23:22,IP Address,101.161.85.199,100,308,TRUE,12/23/2023 23:22,R_4JxAvURp4tgp1Os,,,,,-38.0172,145.3068,anonymous,ZH-T,10,女,50,本科毕业,非常相信,每天都有，甚至不止一次,是,不确定,更大,一定会增加,更大,很有可能会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大,不确定,更大,一定会增加,更大
12/24/2023 3:02,12/24/2023 3:05,IP Address,27.149.73.54,100,190,TRUE,12/24/2023 3:05,R_4HIjfz0sGNlQg2c,,,,,24.4793,118.0673,anonymous,ZH-T,11,女,17,高中,非常相信,每天都有，甚至不止一次,是,也许会降低,不变,一定会增加,更大,很有可能会降低,不变,很有可能会降低,更小,一定会增加,更大,很有可能会增加,更大,也许会降低,更大,很有可能会增加,更大
12/25/2023 1:03,12/25/2023 3:15,IP Address,125.77.51.27,100,7923,TRUE,12/25/2023 3:15,R_1v2HQvJzexZl47L,,,,,26.0492,119.2906,anonymous,ZH-T,12,男,44,研究生毕业,非常相信,每天都有，甚至不止一次,是,也许会降低,更大,很有可能会增加,更大,也许会降低,更大,也许会降低,更大,很有可能会增加,更大,很有可能会增加,更大,也许会降低,不变,不变,不变
12/24/2023 4:36,12/24/2023 4:43,IP Address,120.32.247.154,100,418,TRUE,12/24/2023 4:43,R_4XwC1UT0CH7zHKV,,,,,34.7732,113.722,anonymous,ZH-T,13,女,43,中专毕业,非常相信,每天都有，甚至不止一次,是,不确定,不变,一定会增加,不变,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大,一定会增加,更大
12/24/2023 4:59,12/24/2023 5:08,IP Address,223.104.47.160,100,573,TRUE,12/24/2023 5:08,R_4P1NTmN4GbtosIV,,,,,26.0492,119.2906,anonymous,ZH-T,14,女,32,研究生毕业,非常相信,每天都有，甚至不止一次,是,不确定,不变,也许会增加,更大,不确定,不变,不确定,不变,也许会增加,更大,也许会增加,更大,不确定,更大,也许会增加,更大
12/24/2023 7:46,12/24/2023 7:50,IP Address,223.104.51.5,100,279,TRUE,12/24/2023 7:50,R_46TGGXIlWI9NSJX,,,,,26.0492,119.2906,anonymous,ZH-T,15,女,46,大专毕业,比较相信,几个月1次,否,一定会降低,不变,也许会降低,不变,也许会降低,更大,也许会降低,不变,不确定,,很有可能会降低,不变,很有可能会降低,不变,也许会降低,不变
12/24/2023 9:20,12/24/2023 9:26,IP Address,120.32.55.72,100,323,TRUE,12/24/2023 9:26,R_4R4H9tucqotqY3q,,,,,26.0492,119.2906,anonymous,ZH-T,16,女,22,大专毕业,非常相信,每天都有，甚至不止一次,是,不确定,不变,也许会增加,不变,不确定,不变,不确定,不变,也许会增加,不变,也许会增加,更大,不确定,更大,不确定,不变
12/24/2023 9:39,12/24/2023 9:48,IP Address,27.148.90.128,100,556,TRUE,12/24/2023 9:48,R_4uJ2FeSeTnAEI5i,,,,,26.0492,119.2906,anonymous,ZH-T,17,男,19,高中毕业,比较相信,每天都有，甚至不止一次,是,不确定,更大,不确定,不变,不确定,更大,不确定,更大,不确定,不变,不确定,更大,不确定,更大,不确定,不变
12/24/2023 10:02,12/24/2023 10:07,IP Address,124.72.40.188,100,269,TRUE,12/24/2023 10:07,R_4EhoMYmFeVpvtws,,,,,26.0492,119.2906,anonymous,ZH-T,18,女,51,本科毕业,非常相信,每天都有，甚至不止一次,是,也许会降低,更大,很有可能会增加,更大,也许会降低,更大,也许会降低,更大,很有可能会增加,更大,很有可能会增加,更大,也许会降低,更大,也许会增加,不变
12/24/2023 10:10,12/24/2023 10:13,IP Address,58.250.40.61,100,225,TRUE,12/24/2023 10:13,R_4foBXC6XKQcVREu,,,,,34.7732,113.722,anonymous,ZH-T,19,女,25,研究生毕业,比较相信,每月一次,是,很有可能会降低,不变,很有可能会增加,更大,一定会降低,更小,一定会降低,更小,一定会增加,更大,很有可能会增加,更大,一定会降低,更小,不确定,不变
12/25/2023 4:04,12/25/2023 4:09,IP Address,112.111.55.208,100,282,TRUE,12/25/2023 4:09,R_4mOiPbYIMdf3WHk,,,,,26.0492,119.2906,anonymous,ZH-T,20,女,26,大专毕业,非常相信,每周一次,是,也许会降低,更大,也许会增加,更大,也许会降低,更大,不变,更大,一定会增加,更大,也许会增加,更大,不变,更大,不变,更大
12/25/2023 5:14,12/25/2023 5:18,IP Address,27.148.108.12,100,205,TRUE,12/25/2023 5:18,R_6YP7PHmtK7epwSc,,,,,26.0492,119.2906,anonymous,ZH-T,21,女,46,大专毕业,非常相信,几个月1次,是,也许会降低,不变,一定会增加,更大,很有可能会降低,更小,一定会增加,更大,一定会增加,更大,一定会增加,更大,很有可能会降低,更小,一定会增加,更大
12/25/2023 5:27,12/25/2023 5:31,IP Address,110.84.205.223,100,287,TRUE,12/25/2023 5:31,R_4j1Gx4esoj6z81X,,,,,26.0492,119.2906,anonymous,ZH-T,22,男,47,研究生毕业,非常相信,每天都有，甚至不止一次,是,很有可能会增加,更大,很有可能会增加,更大,也许会降低,不变,也许会降低,不变,很有可能会增加,更大,很有可能会增加,更大,也许会增加,更大,很有可能会增加,更大
12/25/2023 9:19,12/25/2023 9:43,IP Address,218.6.63.25,100,1450,TRUE,12/25/2023 9:43,R_4qvyj9FFRpBvH9U,,,,,23.1181,113.2539,anonymous,ZH-T,23,女,21,高中毕业,半信半疑,每周一次,是,也许会降低,更大,很有可能会增加,更大,也许会降低,不变,也许会增加,更大,一定会增加,更大,也许会增加,更大,也许会降低,不变,不变,不变
12/26/2023 0:07,12/26/2023 0:09,IP Address,223.104.47.201,100,164,TRUE,12/26/2023 0:09,R_4CBSs3q3uEpXqB4,,,,,26.0492,119.2906,anonymous,ZH-T,24,男,19,高中毕业,非常相信,每天都有，甚至不止一次,是,很有可能会降低,更小,不变,不变,很有可能会降低,更大,很有可能会降低,不变,很有可能会增加,不变,很有可能会增加,不变,很有可能会降低,更大,很有可能会增加,不变
12/26/2023 0:24,12/26/2023 1:28,IP Address,153.122.117.216,100,3815,TRUE,12/26/2023 1:28,R_4Lj9r2TzZrxTt47,,,,,35.6897,139.6895,anonymous,ZH-T,25,女,19,高中毕业,比较相信,几个月1次,是,也许会降低,更大,很有可能会增加,不变,也许会降低,更大,很有可能会降低,更小,一定会增加,更大,很有可能会增加,不变,也许会降低,更大,不变,不变
12/26/2023 0:53,12/26/2023 1:04,IP Address,140.224.222.83,100,635,TRUE,12/26/2023 1:04,R_3PBzyFioqIkdr6o,,,,,24.4793,118.0673,anonymous,ZH-T,26,女,22,本科毕业,比较相信,每天都有，甚至不止一次,是,也许会增加,更大,不变,不变,也许会降低,更大,也许会增加,不变,很有可能会增加,更大,不变,不变,也许会增加,更大,不变,不变
12/26/2023 1:31,12/26/2023 1:38,IP Address,27.148.87.52,100,422,TRUE,12/26/2023 1:38,R_3kLJqiNUyk6IdkU,,,,,24.4793,118.0673,anonymous,ZH-T,27,男,19,高中毕业,比较相信,每天都有，甚至不止一次,是,也许会降低,不变,也许会增加,不变,也许会降低,更大,很有可能会降低,更大,很有可能会增加,更大,不变,更大,很有可能会降低,更大,不变,更大
12/26/2023 4:49,12/26/2023 5:02,IP Address,140.243.48.217,100,739,TRUE,12/26/2023 5:02,R_3rNALxPITfJmjsn,,,,,24.4793,118.0673,anonymous,ZH-T,28,女,58,大专毕业,非常相信,每天都有，甚至不止一次,是,不变,更大,不变,更大,不变,更大,不变,更大,不变,更大,不变,更大,不变,更大,一定会增加,更大
12/26/2023 8:15,12/26/2023 8:17,IP Address,110.83.243.2,100,137,TRUE,12/26/2023 8:17,R_4jugYFcfK7mQiCB,,,,,26.2486,117.6186,anonymous,ZH-T,29,男,22,大学毕业,非常相信,每周一次,是,也许会降低,更小,一定会增加,更大,很有可能会降低,更大,很有可能会降低,更大,也许会降低,更大,一定会增加,更大,很有可能会降低,更大,一定会增加,更大
