StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sex,age,education,faith_in_god,religious_action,3,Q4.1,Q4.2,Q8.1,Q8.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1,Q7.2,Q3.1,Q3.2,Q10.1,Q10.2,Q9.1,Q9.2
45336.01389,45336.01875,IP Address,112.47.137.186,100,365,TRUE,45336.01875,R_4uZLq2aGAkkn75n,,,,,24.9051,118.5707,anonymous,ZH-T,女,41-45岁,本科毕业,比较相信,一年2-3次,是,一定会增加,一定会增加,一定会增加,一定会增加,很有可能会降低,也许会增加 ,很有可能会降低,很有可能会增加 ,一定会增加,很有可能会增加 ,也许会降低,也许会增加 ,很有可能会增加,一定会增加,很有可能会降低,也许会增加 
45336.02361,45336.02778,IP Address,223.104.53.248,100,391,TRUE,45336.02778,R_4mt6ZfTkkjFkfNO,,,,,24.9051,118.5707,anonymous,ZH-T,女,31-35岁,职业中专,比较相信,几乎从未有过,是,一定会增加,一定会增加,也许会降低,不变,也许会降低,不变,也许会降低,不变,一定会增加,不变,也许会降低,也许会降低 ,一定会增加,不变,一定会降低,一定会降低 
45336.02083,45336.03125,IP Address,223.104.53.154,100,896,TRUE,45336.03125,R_4LvvUk18tCRXYPe,,,,,24.9051,118.5707,anonymous,ZH-T,女,36-40岁,大学本科,比较相信,每天都有，甚至不止一次,是,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加
45336.02917,45336.03194,IP Address,120.43.248.241,100,221,TRUE,45336.03194,R_4fiAzGDpPSZ0yaZ,,,,,24.9051,118.5707,anonymous,ZH-T,女,31-35岁,大学本科,比较相信,几个月1次,是,,,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,也许会降低,不变,不确定,不变
45336.05417,45336.06181,IP Address,120.32.161.59,100,631,TRUE,45336.06181,R_7si9VUR1RiTqPCM,,,,,26.0492,119.2906,anonymous,ZH-T,女,46-50岁,初中,不太相信,一年2-3次,是,一定会增加,一定会增加,一定会增加,一定会增加,也许会降低,很有可能会增加 ,很有可能会降低,很有可能会增加 ,一定会增加,一定会增加,一定会降低,很有可能会降低 ,也许会增加,很有可能会增加 ,很有可能会降低,一定会降低 
45336.01042,45336.06181,IP Address,223.104.45.114,100,4435,TRUE,45336.06181,R_4dYdVHZDCTyf5AD,,,,,24.9051,118.5707,anonymous,ZH-T,,,,,,,很有可能会增加,也许会增加 ,很有可能会增加,也许会增加 ,很有可能会增加,也许会增加 ,也许会降低,不变,也许会降低,也许会降低 ,也许会降低,不变,也许会增加,也许会增加 ,也许会降低,很有可能会降低 
45337.07639,45337.08681,IP Address,140.243.218.199,100,912,TRUE,45337.08681,R_5P6qgISofh4mjQY,,,,,26.0492,119.2906,anonymous,ZH-T,女,71岁及以上,小学,非常相信,每天都有，甚至不止一次,是,也许会降低,不变,一定会增加,一定会增加,很有可能会增加,很有可能会增加 ,也许会降低,一定会增加,一定会增加,一定会增加,很有可能会降低,不变,,,很有可能会降低,不变
45337.09375,45337.09514,IP Address,112.50.133.56,100,76,TRUE,45337.09514,R_4oFNh0lMMAMlWLS,,,,,26.0492,119.2906,anonymous,ZH-T,男,15岁以下,大学本科,比较相信,每周一次,是,也许会降低,也许会降低 ,很有可能会降低,很有可能会降低 ,也许会降低,也许会增加 ,也许会降低,很有可能会降低 ,也许会降低,也许会降低 ,也许会降低,也许会增加 ,一定会增加,很有可能会增加 ,很有可能会降低,很有可能会降低 
45337.09861,45337.09931,IP Address,123.147.247.159,100,84,TRUE,45337.09931,R_4OrfDbIKaLgMWi5,,,,,29.5689,106.5577,anonymous,ZH-T,不愿透露,36-40岁,未上过学,根本不相信,几乎从未有过,是,一定会降低,很有可能会降低 ,一定会降低,很有可能会降低 ,一定会降低,很有可能会降低 ,一定会增加,一定会降低 ,一定会降低,很有可能会降低 ,一定会降低,很有可能会增加 ,很有可能会降低,很有可能会降低 ,很有可能会降低,很有可能会降低 
45337.09861,45337.1,IP Address,183.251.36.49,100,113,TRUE,45337.1,R_4DLbNT4fG5X2HV7,,,,,24.5027,117.6495,anonymous,ZH-T,男,15-20岁,大学本科,不太相信,一年2-3次,是,很有可能会增加,很有可能会增加 ,也许会增加,也许会增加 ,也许会降低,也许会增加 ,也许会增加,也许会增加 ,很有可能会增加,很有可能会增加 ,也许会降低,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 
45337.09722,45337.1,IP Address,39.144.250.20,100,256,TRUE,45337.1,R_4Kgc5nOVELaeGbd,,,,,24.4793,118.0673,anonymous,ZH-T,女,15-20岁,未上过学,比较相信,一年2-3次,是,一定会增加,一定会增加,也许会降低,也许会降低 ,也许会降低,也许会降低 ,也许会降低,也许会降低 ,一定会增加,一定会增加,也许会降低,也许会降低 ,一定会增加,一定会增加,也许会降低,也许会降低 
45337.09931,45337.10139,IP Address,112.50.81.202,100,135,TRUE,45337.10139,R_4p5TuO2oEtP5TSF,,,,,26.2486,117.6186,anonymous,ZH-T,女,21-25岁,高中,比较相信,几个月1次,是,不确定,不变,也许会增加,也许会增加 ,不确定,不变,不确定,不变,不确定,不变,不确定,不变,也许会增加,也许会增加 ,不确定,不变
45337.10417,45337.10556,IP Address,110.157.74.166,100,110,TRUE,45337.10556,R_6TBjzRyFmB7Jt7B,,,,,44.2991,86.0403,anonymous,ZH-T,男,21-25岁,大学本科,根本不相信,几乎从未有过,是,一定会降低,一定会降低 ,也许会增加,也许会增加 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,也许会增加,也许会增加 ,一定会降低,一定会降低 ,也许会增加,也许会增加 ,很有可能会降低,很有可能会降低 
45337.39097,45337.39236,IP Address,220.249.162.121,100,112,TRUE,45337.39236,R_77pTRPJaMLIcXuA,,,,,26.0492,119.2906,anonymous,ZH-T,男,21-25岁,研究生毕业,比较相信,一年2-3次,是,不确定,不变,不确定,不变,不确定,不变,也许会降低,很有可能会增加 ,不确定,不变,不确定,也许会增加 ,一定会增加,一定会增加,也许会降低,也许会增加 
45337.39306,45337.39306,IP Address,120.40.199.0,100,40,TRUE,45337.39306,R_3ffwESS1OcJJeHW,,,,,26.586,118.7415,anonymous,ZH-T,不愿透露,71岁及以上,未上过学,根本不相信,几乎从未有过,是,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 
45337.39861,45337.39861,IP Address,112.50.84.142,100,43,TRUE,45337.39861,R_4q7BkSwr8fhtcWi,,,,,26.2486,117.6186,anonymous,ZH-T,男,21-25岁,研究生毕业,非常相信,一年2-3次,是,不确定,,很有可能会降低,很有可能会增加 ,一定会降低,,一定会降低,,很有可能会降低,很有可能会增加 ,一定会降低,,一定会降低,,一定会降低,
45337.39861,45337.4,IP Address,112.50.132.191,100,64,TRUE,45337.4,R_4XPWpG1qXgNTDjP,,,,,26.0492,119.2906,anonymous,ZH-T,男,21-25岁,本科毕业,非常相信,几乎从未有过,是,很有可能会降低,很有可能会降低 ,也许会降低,很有可能会增加 ,也许会降低,不变,一定会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,也许会增加 ,也许会增加,一定会增加,也许会降低,也许会降低 
45337.47083,45337.47153,IP Address,112.50.85.232,100,58,TRUE,45337.47153,R_4lAHL4Zj85a9Ave,,,,,26.2486,117.6186,anonymous,ZH-T,女,26-30岁,未上过学,非常相信,一年2-3次,是,一定会增加,一定会增加,一定会增加,一定会增加,一定会降低,一定会降低 ,一定会增加,一定会增加,一定会降低,,一定会降低,一定会降低 ,一定会降低,,一定会增加,一定会增加
45339.08889,45339.09097,IP Address,27.153.220.122,100,172,TRUE,45339.09097,R_6okgjzJuD3hn0Tc,,,,,25.4536,118.9929,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,一年2-3次,是,也许会增加,不变,也许会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,也许会降低,很有可能会增加 ,也许会增加,很有可能会增加 ,不确定,不变,不确定,也许会增加 ,也许会降低,也许会降低 
45339.09514,45339.09583,IP Address,112.49.107.90,100,74,TRUE,45339.09583,R_41GLwadlA0S5Hpf,,,,,26.0492,119.2906,anonymous,ZH-T,男,15-20岁,大学本科,半信半疑,几乎从未有过,是,也许会降低,也许会降低 ,也许会降低,很有可能会增加 ,不确定,也许会增加 ,也许会降低,也许会降低 ,不确定,也许会增加 ,也许会降低,也许会降低 ,也许会增加,不变,也许会降低,也许会降低 
45339.09792,45339.1,IP Address,121.204.19.55,100,169,TRUE,45339.1,R_5tAfZ1x2eJmpueJ,,,,,26.0492,119.2906,anonymous,ZH-T,男,15-20岁,大学本科,比较相信,几乎从未有过,是,也许会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,也许会增加 ,很有可能会降低,很有可能会增加 ,一定会增加,一定会增加,也许会降低,也许会增加 ,也许会增加,很有可能会增加 ,很有可能会降低,很有可能会降低 
45339.10069,45339.10417,IP Address,223.104.51.26,100,265,TRUE,45339.10417,R_429fIvsd3o9Buyd,,,,,26.0492,119.2906,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,几个月1次,是,也许会增加,也许会增加 ,一定会增加,很有可能会增加 ,很有可能会降低,也许会降低 ,也许会降低,也许会降低 ,一定会增加,一定会增加,也许会降低,也许会增加 ,很有可能会增加,很有可能会增加 ,很有可能会降低,也许会降低 
45339.21528,45339.21736,IP Address,112.49.80.121,100,170,TRUE,45339.21736,R_4NfoowxqnOnIoU1,,,,,26.0492,119.2906,anonymous,ZH-T,男,51-55岁,本科毕业,比较相信,每月一次,是,很有可能会增加,也许会增加 ,很有可能会增加,也许会增加 ,不确定,也许会增加 ,很有可能会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,也许会增加 ,也许会增加,很有可能会增加 ,很有可能会降低,不变
45341.12083,45341.12361,IP Address,121.207.23.231,100,238,TRUE,45341.12361,R_7FOJPjvtabQuvys,,,,,24.9051,118.5707,anonymous,ZH-T,男,51-55岁,职业中专,比较相信,一年2-3次,是,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变
45336.01389,45336.01528,IP Address,27.152.247.239,45,143,FALSE,45343.01597,R_4RcXW4ojxqzCWxr,,,,,,,anonymous,ZH-T,女,31-35岁,小学,比较相信,一年2-3次,否,,,,,不确定,不变,,,,,,,不确定,不变,,
45336.01806,45336.01944,IP Address,223.104.45.125,27,132,FALSE,45343.01944,R_4PoTuJprbXor7m5,,,,,,,anonymous,ZH-T,男,71岁及以上,研究生毕业,比较相信,一年2-3次,是,,,,,,,,,,,,,,,,
45336.02639,45336.02708,IP Address,120.37.17.190,27,72,FALSE,45343.02708,R_5pKJWO4xuVKrf1n,,,,,,,anonymous,ZH-T,女,31-35岁,职业中专,半信半疑,一年2-3次,是,,,,,,,,,,,,,,,,
45336.06458,45336.06528,IP Address,120.32.241.185,14,54,FALSE,45343.06528,R_3WfzNIVdIt6SD5v,,,,,,,anonymous,ZH-T,男,15-20岁,大学本科,,,,,,,,,,,,,,,,,,,
45336.20208,45336.20208,IP Address,223.104.45.48,14,22,FALSE,45343.20208,R_4X1I0c3W9cxDjeV,,,,,,,anonymous,ZH-T,男,31-35岁,高中,,,,,,,,,,,,,,,,,,,
