StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,0,sex,age,education,faith_in_god,religious_activity_freq,2,Q4.1,Q4.2,Q6.1,Q6.2,Q5.1,Q5.2,Q7.1,Q7.2,Q8.1,Q8.2,Q10.1,Q10.2,Q9.1,Q9.2,Q3.1,Q3.2
2/2/2024 5:33,2/2/2024 5:38,IP Address,223.160.202.99,100,280,TRUE,2/2/2024 5:38,R_4cSuNBrlNkUjuAW,,,,,25.0088,102.6513,qr,ZH-T,2,男,26-30岁,大学本科,非常相信,每周一次,是,不变,不变,不变,不变,不变,不变,也许会增加,很有可能会增加,不变,不变,不变,不变,不变,不变,不变,不变
2/2/2024 6:37,2/2/2024 6:43,IP Address,106.61.89.142,100,361,TRUE,2/2/2024 6:43,R_4oABRHB8WqNT0kh,,,,,25.0088,102.6513,qr,ZH-T,3,男,21-25岁,大学本科,非常相信,每周一次,是,也许会增加,也许更多,很有可能会增加,很有可能会增加,不变,不变,很有可能会增加,很有可能会增加,很有可能会增加,很有可能会增加,很有可能会增加,很有可能会增加,不变,不变,不变,不变
2/4/2024 5:22,2/4/2024 5:41,IP Address,223.104.242.106,100,1129,TRUE,2/4/2024 5:41,R_44xcEZWjXHbwYmh,,,,,25.4845,103.7871,qr,ZH-T,6,不愿透露,21-25岁,大学本科,不太相信,一年2-3次,是,也许会增加,不变,不变,也许会增加,不变,很有可能会增加,不变,也许会增加,也许会增加,也许会增加,也许会增加,也许会增加,不变,也许会增加,不变,也许会增加
2/4/2024 6:47,2/4/2024 6:50,IP Address,106.61.157.180,100,170,TRUE,2/4/2024 6:50,R_7QAeUvxhQKAIukT,,,,,25.0088,102.6513,qr,ZH-T,9,男,21-25岁,高中,非常相信,每周一次,是,不变,不变,不变,不变,不变,不变,不变,不变,不变,不变,一定会降低,很有可能会降低,不变,不变,不变,不变
2/4/2024 6:48,2/4/2024 6:50,IP Address,223.104.242.113,100,153,TRUE,2/4/2024 6:50,R_4zVn38a2j3xJveu,,,,,25.4845,103.7871,qr,ZH-T,10,男,21-25岁,大学本科,非常相信,每天都有，甚至不止一次,是,一定会增加,一定更多,一定会增加,一定会增加,不变,不变,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,不变,一定会增加,不变,一定会增加
2/4/2024 6:45,2/4/2024 6:51,IP Address,106.61.45.168,100,398,TRUE,2/4/2024 6:51,R_6yKVnbGAm4OS4cp,,,,,25.0088,102.6513,qr,ZH-T,8,男,21-25岁,大学本科,非常相信,每天都有，甚至不止一次,是,不变,不变,不变,也许会增加,不变,也许会增加,也许会增加,也许会增加,也许会增加,也许会增加,不变,不变,不变,不变,不变,不变
1/31/2024 6:03,1/31/2024 7:04,IP Address,128.103.24.19,5,3656,FALSE,2/7/2024 7:04,R_5ND5v9z9Ql7y51x,,,,,,,anonymous,ZH-T,,,,,,,,,,,,,,,,,,,,,,,
1/31/2024 8:20,1/31/2024 8:24,IP Address,183.225.167.2,60,198,FALSE,2/7/2024 8:24,R_4tL7egY6I3tjZvP,,,,,,,qr,ZH-T,test,,,,,,,,,,,,,,,,,,,,,,
2/9/2024 3:21,2/9/2024 3:26,IP Address,39.130.95.252,100,318,TRUE,2/9/2024 3:26,R_4LcArTTkPrkjdBT,,,,,25.0088,102.6513,qr,ZH-T,11,女,26-30岁,大学本科,比较相信,几个月1次,是,很有可能会增加,也许更多,不变,不变,不变,不变,,,很有可能会增加,一定会增加,,,不变,不变,,
2/9/2024 2:34,2/9/2024 23:16,IP Address,117.136.72.67,100,74533,TRUE,2/9/2024 23:16,R_5lrD9LJXlcNX1jp,,,,,25.0088,102.6513,qr,ZH-T,7733,女,15-20岁,大学本科,不太相信,一年2-3次,是,不变,也许更多,不变,不变,不变,不变,不变,不变,不变,也许会增加,不变,也许会增加,不变,不变,不变,不变
