StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,2,Q4.1,Q4.2,Q8.1,Q8.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1,Q7.2,Q3.1,Q3.2,Q10.1,Q10.2,Q9.1,Q9.2
3/13/2024 5:37,3/13/2024 5:40,IP Address,149.102.98.184,100,170,TRUE,3/13/2024 5:40,R_4dKxc9whsNwrs9K,,,,,22.1592,113.5638,anonymous,ZH-T,151,是,也许会增加,也许更多,也许会增加,很有可能会增加,不变,不变,也许会降低,也许会降低,很有可能会增加,很有可能会增加,也许会降低,也许会增加,也许会增加,很有可能会增加,很有可能会降低,也许会降低
3/14/2024 8:17,3/14/2024 8:19,IP Address,202.175.67.187,100,132,TRUE,3/14/2024 8:19,R_4XHurPcpxE65xsZ,,,,,22.201,113.5559,anonymous,ZH-T,153,是,也许会增加,也许更多,一定会增加,很有可能会增加,不变,不变,也许会降低,也许会降低,一定会增加,很有可能会增加,很有可能会降低,也许会降低,也许会增加,很有可能会增加,很有可能会降低,也许会降低
3/15/2024 22:55,3/15/2024 23:05,IP Address,113.52.68.90,100,599,TRUE,3/15/2024 23:05,R_4ty4LBPodivmZrX,,,,,22.201,113.5559,anonymous,ZH-T,155,是,也许会增加,也许更多,很有可能会增加,也许会增加,也许会降低,也许会降低,很有可能会降低,也许会增加,一定会增加,很有可能会增加,也许会降低,也许会降低,也许会增加,不变,很有可能会降低,很有可能会降低
3/16/2024 0:39,3/16/2024 1:03,IP Address,149.102.98.182,100,1415,TRUE,3/16/2024 1:03,R_42pdpF9ARpzhM89,,,,,22.1592,113.5638,anonymous,ZH-T,157,是,也许会增加,很有可能更多,很有可能会增加,一定会增加,也许会降低,很有可能会增加,也许会降低,不变,一定会增加,一定会增加,不变,不变,不变,不变,也许会降低,不变
3/18/2024 6:58,3/18/2024 7:05,IP Address,149.102.98.25,100,390,TRUE,3/18/2024 7:05,R_4GwbZvmjsP3IKeL,,,,,22.1592,113.5638,anonymous,ZH-T,159,是,一定会增加,很有可能更多,很有可能会增加,很有可能会增加,也许会降低,也许会降低,很有可能会降低,也许会降低,一定会增加,一定会增加,也许会降低,很有可能会降低,很有可能会增加,很有可能会增加,很有可能会降低,也许会降低
3/19/2024 6:44,3/19/2024 6:54,IP Address,103.143.92.125,100,577,TRUE,3/19/2024 6:54,R_414HFA9a8xkowFj,,,,,22.201,113.5559,anonymous,ZH-T,161,是,也许会增加,也许更多,也许会增加,也许会增加,很有可能会降低,很有可能会降低,也许会降低,也许会降低,很有可能会增加,很有可能会增加,也许会降低,也许会降低,也许会增加,也许会增加,也许会降低,也许会降低
3/21/2024 2:08,3/21/2024 2:10,IP Address,149.102.98.89,100,149,TRUE,3/21/2024 2:10,R_4PzrXlT3azOOVHo,,,,,22.1592,113.5638,anonymous,ZH-T,163,是,很有可能会增加,也许更多,也许会增加,一定会增加,很有可能会降低,也许会增加,一定会降低,很有可能会增加,一定会增加,一定会增加,一定会降低,很有可能会增加,不变,也许会增加,一定会降低,很有可能会增加
3/21/2024 7:25,3/21/2024 8:27,IP Address,113.52.103.5,100,3729,TRUE,3/21/2024 8:27,R_4dnOyy7W3MKUSpa,,,,,22.201,113.5559,anonymous,ZH-T,165,是,很有可能会增加,很有可能更多,很有可能会增加,很有可能会增加,很有可能会降低,很有可能会降低,很有可能会降低,也许会降低,很有可能会增加,很有可能会增加,很有可能会降低,也许会降低,也许会增加,也许会增加,一定会降低,很有可能会降低
3/22/2024 2:15,3/22/2024 2:17,IP Address,202.175.67.226,100,121,TRUE,3/22/2024 2:17,R_4XifekTGXAjl8l4,,,,,22.201,113.5559,anonymous,ZH-T,171,是,很有可能会增加,很有可能更多,也许会增加,很有可能会增加,很有可能会降低,也许会增加,很有可能会降低,也许会增加,很有可能会增加,很有可能会增加,一定会降低,也许会降低,也许会增加,也许会增加,很有可能会降低,很有可能会增加
4/2/2024 11:07,4/2/2024 11:07,IP Address,202.175.67.180,100,41,TRUE,4/2/2024 11:07,R_4uUoGN4bR3GksAU,,,,,22.201,113.5559,anonymous,ZH-T,175,是,很有可能会降低,很有可能更多,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低
