,Submission id,Participant id,Status_x,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Religious affiliation,Fluent languages,Participation in regular religious activities,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,StartDate,EndDate,Status_y,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID
0,67c6b6ffb315e25fc09401d8,667f093681caac1b3478499a,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:31.208000Z,2025-03-04T08:21:20.184000Z,,2025-03-04T08:21:20.962222Z,229.0,NOCODE,148,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,33,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:17:34,2025-03-04 03:20:16,IP Address,105.12.0.63,100,162,True,2025-03-04 03:20:17,R_2fvDS3Pxw8CPgxb,,,,,-26.1917,28.0523,anonymous,ZH-T,667f093681caac1b3478499a,strongly believe,undergraduate (college/University),Once a week,Yes,remain the same,very likely to increase,may decrease,very likely to decrease,may decrease,may increase,very likely to increase,remain the same,definitely increase,very likely to increase,definitely increase,definitely increase,definitely increase,remain the same,very likely to increase,very likely to increase,667f093681caac1b3478499a
1,67c6b70477728310cc3fb2fc,667ab05c2e6daf5d770ec934,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:16.813000Z,2025-03-04T08:26:03.953000Z,,2025-03-04T08:26:04.601788Z,528.0,NOCODE,19,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),2025-03-04 03:17:20,2025-03-04 03:24:14,IP Address,197.89.91.138,100,414,True,2025-03-04 03:24:15,R_2wSsRyc3bOKNaNP,,,,,-26.2296,28.1272,anonymous,ZH-T,667ab05c2e6daf5d770ec934,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,definitely increase,definitely increase,definitely increase,very likely to increase,remain the same,remain the same,may increase,very likely to increase,very likely to increase,remain the same,very likely to increase,remain the same,definitely increase,definitely increase,definitely increase,667ab05c2e6daf5d770ec934
2,67c6b709be594cc951f57e22,60bbac6c8f57c38f1b834e80,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:21.792000Z,2025-03-04T08:23:19.486000Z,,2025-03-04T08:23:20.053769Z,358.0,NOCODE,683,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,32,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:17:25,2025-03-04 03:22:38,IP Address,105.4.6.159,100,313,True,2025-03-04 03:22:39,R_2qKYchKObP7Ane1,,,,,-26.1917,28.0523,anonymous,ZH-T,60bbac6c8f57c38f1b834e80,strongly believe,graduate school (postgraduate),Daily or more,Yes,definitely increase,definitely increase,may increase,very likely to increase,very likely to increase,very likely to increase,definitely increase,very likely to increase,definitely increase,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,definitely increase,60bbac6c8f57c38f1b834e80
3,67c6b70baf08f9bd1b3fb2f6,6746b1a25259ea182ac200f3,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:32.253000Z,2025-03-04T08:24:26.995000Z,,2025-03-04T08:24:27.736700Z,415.0,NOCODE,23,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English, Other",Yes. Both public and private,55,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:17:35,2025-03-04 03:23:00,IP Address,41.145.211.61,100,325,True,2025-03-04 03:23:01,R_2f2n4XHadBdUWTs,,,,,-25.757,28.1443,anonymous,ZH-T,6746b1a25259ea182ac200f3,strongly believe,undergraduate (college/University),Daily or more,Yes,definitely increase,definitely increase,remain the same,remain the same,may increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,may decrease,definitely increase,6746b1a25259ea182ac200f3
4,67c6b71c17d1045ae78b65b8,66d7a32829fc2fa2072f2249,AWAITING REVIEW,Not Applicable,2025-03-04T08:18:03.905000Z,2025-03-04T08:26:39.761000Z,,2025-03-04T08:26:40.540014Z,516.0,NOCODE,17,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,45,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:18:43,2025-03-04 03:25:10,IP Address,41.122.210.88,100,386,True,2025-03-04 03:25:10,R_8p70asy6Hh8LB9D,,,,,-26.2309,28.0583,anonymous,ZH-T,66d7a32829fc2fa2072f2249,strongly believe,graduate school (postgraduate),Once a week,Yes,may decrease,may increase,definitely increase,definitely increase,remain the same,remain the same,definitely increase,very likely to increase,definitely increase,very likely to increase,very likely to increase,definitely increase,very likely to increase,definitely increase,remain the same,definitely increase,66d7a32829fc2fa2072f2249
5,67c6b71f45e6e772e41cde08,61236d32c2154e6d14e7e995,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:35.686000Z,2025-03-04T08:22:45.610000Z,,2025-03-04T08:22:46.119552Z,310.0,NOCODE,462,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,34,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:17:38,2025-03-04 03:22:02,IP Address,147.161.162.245,100,264,True,2025-03-04 03:22:03,R_2fFevA2sZPJYeDn,,,,,-26.2309,28.0583,anonymous,ZH-T,61236d32c2154e6d14e7e995,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,very likely to increase,remain the same,definitely increase,remain the same,definitely increase,very likely to increase,very likely to increase,very likely to increase,may increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,remain the same,very likely to increase,61236d32c2154e6d14e7e995
6,67c6b7235f4200e5d0ec6be3,60af719d08c9818b06572030,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:44.383000Z,2025-03-04T08:21:33.514000Z,,2025-03-04T08:21:34.159800Z,230.0,NOCODE,48,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English",Yes. Both public and private,31,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:17:47,2025-03-04 03:21:09,IP Address,152.110.162.203,100,201,True,2025-03-04 03:21:10,R_24A38kxaVC9sogx,,,,,-33.9258,18.4259,anonymous,ZH-T,60af719d08c9818b06572030,strongly believe,undergraduate (college/University),2-3 times a year,Yes,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,very likely to increase,definitely increase,very likely to increase,definitely increase,very likely to increase,definitely increase,very likely to increase,definitely increase,remain the same,definitely increase,60af719d08c9818b06572030
7,67c6b72897f6ed95c89400e8,664c7f8d5a2b5a70d8c6f574,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:44.609000Z,2025-03-04T08:25:18.682000Z,,2025-03-04T08:25:19.284878Z,455.0,NOCODE,105,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Swahili",Yes. Both public and private,33,Female,Black,Kenya,Kenya,Kenya,English,Yes,Part-Time,2025-03-04 03:17:49,2025-03-04 03:24:36,IP Address,102.216.154.80,100,406,True,2025-03-04 03:24:36,R_2fAyYIloCk2dPOZ,,,,,-1.2841,36.8155,anonymous,ZH-T,664c7f8d5a2b5a70d8c6f574,somewhat believe,undergraduate (college/University),Once a few months,Yes,remain the same,remain the same,remain the same,may increase,remain the same,remain the same,very likely to increase,remain the same,definitely increase,very likely to increase,may increase,very likely to increase,very likely to increase,very likely to increase,remain the same,stay the same,664c7f8d5a2b5a70d8c6f574
8,67c6b72ea54c96bb0a03b6ac,5c4f4ce19eeaf00001598126,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:56.106000Z,2025-03-04T08:32:04.715000Z,,2025-03-04T08:32:06.712789Z,849.0,NOCODE,742,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Polish",Yes. Both public and private,35,Female,White,Poland,Poland,Poland,Polish,No,Due to start a new job within the next month,2025-03-04 03:17:58,2025-03-04 03:31:03,IP Address,83.26.185.193,100,784,True,2025-03-04 03:31:04,R_8czngP9Yw4SADq3,,,,,50.6661,17.9826,anonymous,ZH-T,5c4f4ce19eeaf00001598126,strongly believe,high school,Daily or more,Yes,remain the same,remain the same,remain the same,may increase,remain the same,remain the same,may increase,may increase,may increase,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,stay the same,5c4f4ce19eeaf00001598126
9,67c6b731b4ca95f521c65d80,61176bf49777cbfb341a34ae,AWAITING REVIEW,Not Applicable,2025-03-04T08:17:53.687000Z,2025-03-04T08:31:50.773000Z,,2025-03-04T08:31:51.674027Z,838.0,NOCODE,406,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,40,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:17:56,2025-03-04 03:31:27,IP Address,163.116.164.115,100,810,True,2025-03-04 03:31:27,R_2fxMvyClr0SGh7H,,,,,-26.2309,28.0583,anonymous,ZH-T,61176bf49777cbfb341a34ae,strongly believe,graduate school (postgraduate),Daily or more,Yes,very likely to increase,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,remain the same,definitely increase,61176bf49777cbfb341a34ae
