StartDate,EndDate,Status_x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID,Submission id,Participant id,Status_y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Religious affiliation,Participation in regular religious activities,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1/15/2025 0:45,1/15/2025 0:51,IP Address,103.161.144.22,100,336,TRUE,1/15/2025 0:51,R_41bIJPU1mGDczZO,,,,,10.516,76.2157,anonymous,ZH-T,66321cfc446914f3b199e193,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,remain the same,remain the same,remain the same,stay the same,66321cfc446914f3b199e193,67874b5fb8adc7b432041b3e,66321cfc446914f3b199e193,APPROVED,Not Applicable,2025-01-15T05:45:28.987000Z,2025-01-15T05:51:24.332000Z,2025-01-26T04:03:06.615000Z,2025-01-15T05:51:24.878213Z,356,NOCODE,126,"English, Malayalam",Hinduism,Yes. Both public and private,49,Male,Asian,India,India,India,Malayalam,No,Full-Time
1/15/2025 0:49,1/15/2025 0:56,IP Address,41.144.1.218,100,414,TRUE,1/15/2025 0:56,R_8haqxTTCGT2tlCN,,,,,-29.8556,31.0449,anonymous,ZH-T,5fa0091ec747500252d2891f,strongly believe,vocational/technical school,Once a week,Yes,may decrease,remain the same,may decrease,very likely to decrease,remain the same,may increase,definitely increase,may increase,will definitely increase,definitely increase,definitely increase,very likely to increase,very likely to increase,remain the same,may decrease,definitely increase,5fa0091ec747500252d2891f,67874c175635d3351998d960,5fa0091ec747500252d2891f,APPROVED,Not Applicable,2025-01-15T05:49:27.276000Z,2025-01-15T05:57:05.274000Z,2025-01-26T04:03:07.013000Z,2025-01-15T05:57:05.966219Z,458,NOCODE,797,English,Hinduism,Yes. Both public and private,37,Male,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
1/15/2025 0:53,1/15/2025 0:57,IP Address,202.142.121.66,100,256,TRUE,1/15/2025 0:57,R_401GSQyPjdMNSnf,,,,,28.6542,77.2373,anonymous,ZH-T,65fda4aa45ba55e983e2a2d9,strongly believe,graduate school (postgraduate),Once a month,Yes,may decrease,remain the same,may decrease,may decrease,remain the same,remain the same,definitely increase,very likely to increase,may increase,may increase,very likely to increase,very likely to increase,very likely to increase,may increase,remain the same,stay the same,65fda4aa45ba55e983e2a2d9,67874d4a3c5c83bfccf04ebb,65fda4aa45ba55e983e2a2d9,APPROVED,Not Applicable,2025-01-15T05:53:23.555000Z,2025-01-15T05:57:58.946000Z,2025-01-26T04:03:07.539000Z,2025-01-15T05:57:59.635563Z,276,NOCODE,220,"Hindi, English",Hinduism,Yes. Both public and private,34,Male,Asian,India,India,India,Hindi,No,Part-Time
1/15/2025 0:55,1/15/2025 1:02,IP Address,110.227.58.41,100,414,TRUE,1/15/2025 1:02,R_4bN71Hkzk75Zb5b,,,,,23.2487,77.4066,anonymous,ZH-T,65f33a30a74da39eb0a21835,strongly believe,graduate school (postgraduate),Once a week,Yes,remain the same,remain the same,may decrease,very likely to increase,may decrease,remain the same,remain the same,definitely increase,may increase,remain the same,very likely to increase,very likely to increase,remain the same,remain the same,may decrease,stay the same,65f33a30a74da39eb0a21835,67874daeed437ef0f0ca7c33,65f33a30a74da39eb0a21835,APPROVED,Not Applicable,2025-01-15T05:55:07.663000Z,2025-01-15T06:02:26.969000Z,2025-01-26T04:03:07.801000Z,2025-01-15T06:02:27.677471Z,440,NOCODE,177,"English, Hindi",Hinduism,Yes. Both public and private,25,Male,Asian,India,India,India,Hindi,Yes,Full-Time
1/15/2025 0:56,1/15/2025 1:02,IP Address,157.49.104.17,100,367,TRUE,1/15/2025 1:02,R_4s7bkkjwRuX8zHI,,,,,12.8996,80.2209,anonymous,ZH-T,663378460f834e9670d1508c,strongly believe,undergraduate (college/University),Once a month,Yes,very likely to decrease,may decrease,very likely to decrease,may decrease,definitely decrease,very likely to decrease,definitely increase,definitely increase,very likely to increase,definitely increase,very likely to increase,very likely to increase,may increase,very likely to increase,may decrease,very likely to decrease,663378460f834e9670d1508c,67874de6352c3a61a16dbb29,663378460f834e9670d1508c,APPROVED,Not Applicable,2025-01-15T05:56:17.890000Z,2025-01-15T06:02:59.542000Z,2025-01-26T04:03:08.062000Z,2025-01-15T06:02:59.969235Z,402,NOCODE,319,"English, Tamil",Hinduism,Yes. Both public and private,23,Female,Asian,India,India,India,Tamil,No,Unemployed (and job seeking)
1/15/2025 0:50,1/15/2025 1:03,IP Address,42.104.131.34,100,743,TRUE,1/15/2025 1:03,R_4ClDfYElcoChgoF,,,,,12.8996,80.2209,anonymous,ZH-T,65fab55532461b0eaf2236b6,somewhat believe,graduate school (postgraduate),Once a week,Yes,remain the same,remain the same,very likely to decrease,may decrease,may decrease,remain the same,remain the same,remain the same,may increase,very likely to increase,may increase,remain the same,remain the same,remain the same,remain the same,stay the same,65fab55532461b0eaf2236b6,67874c42aa0857dfb079a67c,65fab55532461b0eaf2236b6,APPROVED,Not Applicable,2025-01-15T05:50:38.372000Z,2025-01-15T06:03:38.776000Z,2025-01-26T04:03:07.275000Z,2025-01-15T06:03:39.262484Z,781,NOCODE,250,"Tamil, English",Hinduism,Yes. Both public and private,31,Female,Asian,India,India,India,Tamil,No,Full-Time
1/15/2025 0:59,1/15/2025 1:11,IP Address,148.252.158.82,100,719,TRUE,1/15/2025 1:11,R_29uGFbCHqDeUS3U,,,,,51.4964,-0.1224,anonymous,ZH-T,66c88c104a1c0cf2f5534231,somewhat believe,undergraduate (college/University),Once a month,Yes,remain the same,remain the same,may decrease,very likely to increase,may increase,may increase,may increase,very likely to increase,may decrease,may increase,definitely increase,definitely increase,very likely to increase,very likely to increase,may increase,stay the same,66c88c104a1c0cf2f5534231,67874ec501432c7df84ec958,66c88c104a1c0cf2f5534231,APPROVED,Not Applicable,2025-01-15T05:59:36.468000Z,2025-01-15T06:11:55.464000Z,2025-01-26T04:03:08.616000Z,2025-01-15T06:11:56.095494Z,739,NOCODE,426,"Hindi, English, French, Spanish, Tamil",Hinduism,Yes. Both public and private,26,Male,White,Sri Lanka,United Kingdom,United Kingdom,English,Yes,Full-Time
1/15/2025 0:58,1/15/2025 1:12,IP Address,106.195.41.190,100,829,TRUE,1/15/2025 1:12,R_4fBmifDMQ1kaGb1,,,,,12.8996,80.2209,anonymous,ZH-T,66c5f76d9a214b469f6476c8,strongly believe,undergraduate (college/University),Once a week,Yes,may decrease,remain the same,very likely to decrease,remain the same,very likely to decrease,definitely decrease,very likely to increase,may increase,very likely to increase,remain the same,very likely to increase,very likely to increase,very likely to increase,may increase,definitely decrease,stay the same,66c5f76d9a214b469f6476c8,67874e5ea1d5ec6792e52a3b,66c5f76d9a214b469f6476c8,APPROVED,Not Applicable,2025-01-15T05:58:12.128000Z,2025-01-15T06:12:51.779000Z,2025-01-26T04:03:08.327000Z,2025-01-15T06:12:52.397461Z,880,NOCODE,158,"English, Tamil",Hinduism,Yes. Both public and private,34,Female,Asian,India,India,India,English,No,Full-Time
1/15/2025 1:02,1/15/2025 1:13,IP Address,157.41.226.226,100,667,TRUE,1/15/2025 1:13,R_41nWrhLDxBftQ1D,,,,,20.2706,85.8334,anonymous,ZH-T,65f58b399426c824ebce27ce,strongly believe,graduate school (postgraduate),Daily or more,Yes,very likely to decrease,may decrease,may decrease,may increase,definitely decrease,may decrease,definitely increase,definitely increase,will definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely decrease,very likely to decrease,65f58b399426c824ebce27ce,67874f371f8123ca1dde4eb3,65f58b399426c824ebce27ce,APPROVED,Not Applicable,2025-01-15T06:01:57.113000Z,2025-01-15T06:13:43.054000Z,2025-01-26T04:03:08.893000Z,2025-01-15T06:13:43.640000Z,706,NOCODE,230,"Hindi, English",Hinduism,Yes. Both public and private,31,Male,Asian,India,India,India,Hindi,No,Full-Time
1/15/2025 1:10,1/15/2025 1:17,IP Address,103.199.122.47,100,401,TRUE,1/15/2025 1:17,R_4tKzT9k68BZoRiM,,,,,28.6659,77.0044,anonymous,ZH-T,65fb1b3b8d6f60e342ea6b1e,strongly believe,undergraduate (college/University),Daily or more,Yes,may decrease,very likely to increase,remain the same,may increase,may decrease,definitely increase,definitely increase,definitely increase,may increase,very likely to increase,definitely increase,may increase,remain the same,may increase,may decrease,very likely to increase,65fb1b3b8d6f60e342ea6b1e,6787515ca728d9311a5fe58e,65fb1b3b8d6f60e342ea6b1e,APPROVED,Not Applicable,2025-01-15T06:10:44.425000Z,2025-01-15T06:19:19.903000Z,2025-01-26T04:03:09.176000Z,2025-01-15T06:19:20.410500Z,516,SESSION_ID=6787515ca728d9311a5fe58e,263,"English, Hindi, Other",Hinduism,Yes. Both public and private,28,Female,Asian,India,India,India,Hindi,No,Other
