,StartDate,EndDate,Status_x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID,Submission id,Participant id,Status_y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Religious affiliation,Participation in regular religious activities,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,2025-03-04 05:33:04,2025-03-04 05:36:57,IP Address,49.43.225.171,100,232,True,2025-03-04 05:36:58,R_9WJawdYnixbIZia,,,,,17.3843,78.4583,anonymous,ZH-T,65fbb8c0e3f7f36e6f0a6919,somewhat believe,undergraduate (college/University),2-3 times a year,Yes,remain the same,remain the same,may decrease,may increase,may decrease,may increase,may increase,may increase,may increase,may increase,remain the same,remain the same,may increase,may increase,may decrease,may decrease,65fbb8c0e3f7f36e6f0a6919,67c6d6d41f224a77d1a70f30,65fbb8c0e3f7f36e6f0a6919,AWAITING REVIEW,Not Applicable,2025-03-04T10:33:02.592000Z,2025-03-04T10:37:28.781000Z,,2025-03-04T10:37:29.491924Z,267.0,NOCODE,219,"Hindi, English, Telugu",Hinduism,Yes. Private only,25,Male,Asian,India,India,India,Telugu,No,Full-Time
1,2025-03-04 05:33:41,2025-03-04 05:38:54,IP Address,152.58.98.53,100,312,True,2025-03-04 05:38:54,R_4Vfs2UsiaOz95WW,,,,,26.9136,75.7858,anonymous,ZH-T,66c9ad39d444410662e8744e,somewhat believe,undergraduate (college/University),Daily or more,Yes,remain the same,may increase,very likely to decrease,may decrease,very likely to decrease,may decrease,remain the same,remain the same,may increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,may decrease,may increase,66c9ad39d444410662e8744e,67c6d6eabbe960784bb68ebd,66c9ad39d444410662e8744e,AWAITING REVIEW,Not Applicable,2025-03-04T10:33:39.445000Z,2025-03-04T10:39:27.914000Z,,2025-03-04T10:39:28.614160Z,349.0,NOCODE,130,"English, Hindi, Urdu, Punjabi",Hinduism,Yes. Private only,21,Female,Asian,India,India,India,English,No,Full-Time
2,2025-03-04 05:39:09,2025-03-04 05:42:47,IP Address,41.122.15.68,100,217,True,2025-03-04 05:42:48,R_8t44yAyqxxkt0kh,,,,,-29.8427,31.0141,anonymous,ZH-T,6634e6d912de289f07dbdf96,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,6634e6d912de289f07dbdf96,67c6d840766fd6ec16409447,6634e6d912de289f07dbdf96,AWAITING REVIEW,Not Applicable,2025-03-04T10:39:03.337000Z,2025-03-04T10:43:11.966000Z,,2025-03-04T10:43:13.263037Z,249.0,NOCODE,205,English,Hinduism,Yes. Private only,47,Female,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
3,2025-03-04 05:40:29,2025-03-04 05:43:31,IP Address,81.99.117.29,100,181,True,2025-03-04 05:43:32,R_8n12vL92WTL0qgS,,,,,51.6141,-0.3362,anonymous,ZH-T,661fb1b249ae561cd6130641,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,661fb1b249ae561cd6130641,67c6d89568e8128dd6e90424,661fb1b249ae561cd6130641,AWAITING REVIEW,Not Applicable,2025-03-04T10:40:27.737000Z,2025-03-04T10:44:02.212000Z,,2025-03-04T10:44:02.954224Z,215.0,I forgot to copy it,121,"English, Hindi, Gujarati",Hinduism,Yes. Private only,32,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
4,2025-03-04 05:37:09,2025-03-04 05:43:53,IP Address,152.58.143.104,100,403,True,2025-03-04 05:43:53,R_9HUNM90yO0Q5bAD,,,,,20.2706,85.8334,anonymous,ZH-T,65f3935cadf0f4f2a9299b6f,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,very likely to increase,may increase,may increase,may increase,remain the same,remain the same,may increase,may increase,remain the same,remain the same,65f3935cadf0f4f2a9299b6f,67c6d7ca23b545723c47a1d8,65f3935cadf0f4f2a9299b6f,AWAITING REVIEW,Not Applicable,2025-03-04T10:37:06.459000Z,2025-03-04T10:46:00.154000Z,,2025-03-04T10:46:00.849828Z,534.0,NOCODE,78,"English, Hindi",Hinduism,Yes. Private only,20,Male,Asian,India,India,India,Hindi,Yes,Unemployed (and job seeking)
5,2025-03-04 05:40:21,2025-03-04 05:43:59,IP Address,49.185.66.137,100,217,True,2025-03-04 05:43:59,R_4pGuCg418ntJdAP,,,,,-37.8159,144.9669,anonymous,ZH-T,668c89470d8a8b5499524182,somewhat believe,graduate school (postgraduate),Daily or more,Yes,may increase,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,very likely to increase,very likely to increase,definitely increase,definitely increase,definitely increase,very likely to increase,definitely increase,668c89470d8a8b5499524182,67c6d87bc544e8e87c6bab27,668c89470d8a8b5499524182,AWAITING REVIEW,Not Applicable,2025-03-04T10:40:02.830000Z,2025-03-04T10:44:20.439000Z,,2025-03-04T10:44:21.166793Z,258.0,NOCODE,75,"English, Hindi",Hinduism,Yes. Private only,45,Male,Asian,India,Australia,Australia,English,No,Full-Time
6,2025-03-04 05:42:33,2025-03-04 05:46:04,IP Address,49.36.210.59,100,210,True,2025-03-04 05:46:04,R_4ZCeLk6wn7knrVh,,,,,26.8373,80.9165,anonymous,ZH-T,65f34d32d899ea4fd6d6197b,somewhat believe,undergraduate (college/University),Once a month,Yes,remain the same,remain the same,remain the same,may increase,remain the same,may increase,very likely to increase,may increase,may increase,may increase,may increase,remain the same,remain the same,remain the same,remain the same,very likely to increase,65f34d32d899ea4fd6d6197b,67c6d906a0a1f01889c1bfaa,65f34d32d899ea4fd6d6197b,AWAITING REVIEW,Not Applicable,2025-03-04T10:42:24.143000Z,2025-03-04T10:46:22.777000Z,,2025-03-04T10:46:23.730914Z,239.0,NOCODE,195,English,Hinduism,Yes. Private only,35,Male,Asian,India,India,India,English,No,Full-Time
7,2025-03-04 05:38:54,2025-03-04 05:49:48,IP Address,82.14.204.34,100,654,True,2025-03-04 05:49:49,R_89aeH8aZdxR5HKI,,,,,52.6181,-1.1804,anonymous,ZH-T,6508dcd4c44b2c8ff9e0a22f,strongly disbelieve,graduate school (postgraduate),Almost never,Yes,very likely to decrease,very likely to decrease,may increase,may increase,very likely to decrease,may decrease,may increase,remain the same,may increase,may increase,may increase,may increase,remain the same,remain the same,very likely to decrease,remain the same,6508dcd4c44b2c8ff9e0a22f,67c6d839530dd707edccac84,6508dcd4c44b2c8ff9e0a22f,AWAITING REVIEW,Not Applicable,2025-03-04T10:38:52.664000Z,2025-03-04T10:50:05.633000Z,,2025-03-04T10:50:06.388286Z,673.0,NOCODE,540,"English, Hindi",Hinduism,Yes. Private only,31,Female,Asian,India,United Kingdom,India,Hindi,Yes,Full-Time
8,2025-03-04 05:47:35,2025-03-04 05:51:06,IP Address,152.58.181.174,100,210,True,2025-03-04 05:51:06,R_9EmzSrQHMhJb0qR,,,,,22.5643,88.3693,anonymous,ZH-T,66c759152c9c09f229a0756c,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,may increase,may increase,may increase,remain the same,remain the same,may increase,may increase,remain the same,remain the same,66c759152c9c09f229a0756c,67c6da3aeaae095cae46071c,66c759152c9c09f229a0756c,AWAITING REVIEW,Not Applicable,2025-03-04T10:47:32.729000Z,2025-03-04T10:51:35.060000Z,,2025-03-04T10:51:35.751329Z,243.0,NOCODE,214,"Bengali, Hindi, English",Hinduism,Yes. Private only,21,Female,Asian,India,India,India,Bengali,Yes,Part-Time
9,2025-03-04 05:48:58,2025-03-04 05:52:47,IP Address,101.115.2.33,100,229,True,2025-03-04 05:52:48,R_4fDUMwwJ9koEmCQ,,,,,-33.883,151.2127,anonymous,ZH-T,661bd9f73e20bf1a6b9a71f2,strongly believe,graduate school (postgraduate),Once a week,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,661bd9f73e20bf1a6b9a71f2,67c6da8ce2569a9b5ab3235e,661bd9f73e20bf1a6b9a71f2,AWAITING REVIEW,Not Applicable,2025-03-04T10:48:55.105000Z,2025-03-04T10:53:37.955000Z,,2025-03-04T10:53:38.643220Z,283.0,Not providef,44,"Chinese, English, French, Hindi, German",Hinduism,Yes. Both public and private,44,Male,Asian,India,Australia,Australia,English,No,Full-Time
